country,city,region,type,size,sports,percentage,Links,logo,Music,University
United States,Atlanta,North America,Private,L,Football,A,https://www.topuniversities.com/universities/emory-university,https://www.topuniversities.com/sites/default/files/emory-university_185_small.jpg,YES,Emory University
Taiwan,Hsinchu City,Asia,Public,L,Football,A,https://www.topuniversities.com/universities/national-tsing-hua-university,https://www.topuniversities.com/sites/default/files/national-tsing-hua-university_442_small.jpg,YES,National Tsing Hua University
Canada,Waterloo,North America,Public,XL,Cricket,C,https://www.topuniversities.com/universities/university-waterloo,https://www.topuniversities.com/sites/default/files/university-of-waterloo_670_small.jpg,YES,University of Waterloo
India,Bangalore,Asia,Public,S,Tanis,D,https://www.topuniversities.com/universities/indian-institute-science,https://www.topuniversities.com/sites/default/files/indian-institute-of-science-iisc-bangalore_22878_small.jpg,NO,Indian Institute of Science
Belgium,Louvain-la-Nevue,Europe,Private,L,Football,D,https://www.topuniversities.com/universities/universite-catholique-de-louvain-uclouvain,https://www.topuniversities.com/sites/default/files/universit-catholique-de-louvain-uclouvain_592560cf2aeae70239af4aed_small.jpg,YES,Universitas© catholique de Louvain (UCLouvain)
Austria,Vienna,Europe,Public,XL,Cricket,B,https://www.topuniversities.com/universities/university-vienna,https://www.topuniversities.com/sites/default/files/university-of-vienna_652_small.jpg,YES,University of Vienna
United States,Irvine,North America,Public,XL,Cricket,A,https://www.topuniversities.com/universities/university-california-irvine,https://www.topuniversities.com/sites/default/files/university-of-california-irvine_86_small.jpg,YES,"University of California, Irvine"
United Kingdom,Liverpool,Europe,Public,L,Football,A,https://www.topuniversities.com/universities/university-liverpool,https://www.topuniversities.com/sites/default/files/university-of-liverpool_350_small.jpg,YES,University of Liverpool
United States,Hanover,North America,Private,M,VollyBall,B,https://www.topuniversities.com/universities/dartmouth-college,https://www.topuniversities.com/sites/default/files/dartmouth-college_592560cf2aeae70239af4b1c_small.jpg,NO,Dartmouth College
United Kingdom,Bath,Europe,Public,L,Football,B,https://www.topuniversities.com/universities/university-bath,https://www.topuniversities.com/sites/default/files/university-of-bath_47_small.jpg,YES,University of Bath
Spain,Barcelona,Europe,Public,XL,Cricket,C,https://www.topuniversities.com/universities/universitat-de-barcelona,https://www.topuniversities.com/sites/default/files/university-of-barcelona_592560cf2aeae70239af4aaf_small.jpg,YES,Universitat de Barcelona
